"Species","ESV","Mean_Abundance"
"MOCH","ESV_097055",1.97435897435897
"MOCH","ESV_097887",1.94871794871795
"MOCH","ESV_097804",1.94871794871795
"MOCH","ESV_097496",1.94871794871795
"MOCH","ESV_097473",1.94871794871795
"MOCH","ESV_097487",1.94871794871795
"MOCH","ESV_097211",1.92307692307692
"MOCH","ESV_097999",1.8974358974359
"MOCH","ESV_097918",1.8974358974359
"MOCH","ESV_097744",1.8974358974359
"MOCH","ESV_097723",1.8974358974359
"MOCH","ESV_097148",1.8974358974359
"MOCH","ESV_019909",1.87179487179487
"MOCH","ESV_097435",1.87179487179487
"MOCH","ESV_097801",1.84615384615385
"MOCH","ESV_097806",1.84615384615385
"MOCH","ESV_097611",1.84615384615385
"MOCH","ESV_097550",1.84615384615385
"MOCH","ESV_097041",1.84615384615385
"MOCH","ESV_097838",1.82051282051282
"MOCH","ESV_097697",1.82051282051282
"MOCH","ESV_097082",1.82051282051282
"MOCH","ESV_097965",1.79487179487179
"MOCH","ESV_097742",1.79487179487179
"MOCH","ESV_097737",1.79487179487179
"MOCH","ESV_097721",1.79487179487179
"MOCH","ESV_097312",1.79487179487179
"MOCH","ESV_097185",1.79487179487179
